"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT21","WT21_ATTRIBUTES","WT22","WT22_ATTRIBUTES","WV01","WV01_ATTRIBUTES","WV20","WV20_ATTRIBUTES"
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-14",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"9.4",",,0","-1.1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-15",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"5.6",",,0","0.0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-16",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"3.9",",,0","-2.2",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-17",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"6.1",",,0","-3.3",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-18",,,,,,,"0.0","T,,0,2400","0.0","T,,0","0.0","T,,0",,,"3.9",",,0","0.0",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-19",,,,,,,"0.8",",,0,2400","0.0","T,,0","0.0","T,,0",,,"1.1",",,0","0.0",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-20",,,,,,,"0.5",",,0,2400","0.0","T,,0","0.0","T,,0",,,"4.4",",,0","0.6",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-21",,,,,,,"17.8",",,0,2400","8.0",",,0","0.0","T,,0",,,"5.6",",,0","0.6",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-22",,,,,,,"3.0",",,0,2400","0.0",",,0","0.0",",,0",,,"8.9",",,0","4.4",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-23",,,,,,,"0.3",",,0,2400","0.0",",,0","0.0",",,0",,,"8.9",",,0","6.1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-24",,,,,,,"0.5",",,0,2400","0.0",",,0","0.0",",,0",,,"10.6",",,0","5.0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-25",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"10.0",",,0","2.2",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-26",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"12.2",",,0","7.2",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-27",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"10.6",",,0","5.0",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-28",,,,,,,"0.5",",,0,2400","0.0",",,0","0.0",",,0",,,"12.2",",,0","5.0",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-02-29",,,,,,,"7.6",",,0,2400","0.0",",,0","0.0",",,0",,,"7.8",",,0","4.4",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-03-01",,,,,,,"13.2",",,0,2400","0.0",",,0","0.0",",,0",,,"6.7",",,0","4.4",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-03-02",,,,,,,"7.9",",,0,2400","0.0",",,0","0.0",",,0",,,"5.6",",,0","3.3",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-03-03",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"6.1",",,0","-0.6",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-03-04",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"4.4",",,0","-1.7",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-03-05",,,,,,,"0.0","T,,0,2400","0.0","T,,0","0.0",",,0",,,"6.7",",,0","1.7",",,0",,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-03-06",,,,,,,"0.8",",,0,2400","0.0",",,0","0.0",",,0",,,"7.2",",,0","1.1",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-03-07",,,,,,,"6.9",",,0,2400","0.0",",,0","0.0",",,0",,,"6.7",",,0","2.2",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-03-08",,,,,,,"8.9",",,0,2400","0.0",",,0","0.0",",,0",,,"6.1",",,0","2.2",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-03-09",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"7.8",",,0","0.0",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-03-10",,,,,,,"0.0","T,,0,2400","0.0","T,,0","0.0",",,0",,,"5.6",",,0","-1.1",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-03-11",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"5.6",",,0","-2.8",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-03-12",,,,,,,"0.0","T,,0,2400","0.0","T,,0","0.0",",,0",,,"3.9",",,0","-0.6",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-03-13",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"5.6",",,0","-1.7",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-03-14",,,,,,,"0.0",",,0,2400","0.0",",,0","0.0",",,0",,,"5.0",",,0","-3.3",",,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-03-15",,,,,,,"2.5",",,0,2400","58.0",",,0","51.0",",,0",,,"2.8",",,0","-1.1",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-03-16",,,,,,,"8.9",",,0,2400","0.0",",,0","0.0",",,0",,,"7.2",",,0","2.2",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-03-17",,,,,,,"11.9",",,0,2400","5.0",",,0","0.0",",,0",,,"3.9",",,0","0.6",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
"USW00025333","SITKA AIRPORT, AK US","57.0481","-135.3647","4.3","1980-03-18",,,,,,,"11.4",",,0,2400","0.0","T,,0","0.0",",,0",,,"5.6",",,0","0.6",",,0",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,,,,,
